TF1|TF2|{F/R}|D	COUNTS	n	mu	SD	FC	Z	p-value
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|2	90	3	49.0	7.810249675906654	1.836734693877551	5.249512077248736	1.5250260174045421e-07
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|1	79	3	46.0	7.211102550927978	1.7173913043478262	4.576276618858141	4.733246030883401e-06
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|0	87	3	52.0	7.937253933193772	1.6730769230769231	4.409585518440984	1.0356865370145146e-05
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|7	85	3	49.333333333333336	11.718930554164631	1.7229729729729728	3.0435086633388724	0.0023383670812957328
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|6	77	3	57.0	5.291502622129181	1.3508771929824561	3.779644730092272	0.00015705228423075119
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|5	88	3	52.666666666666664	5.773502691896258	1.6708860759493671	6.119912853410033	9.362654766345638e-10
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|4	74	3	47.666666666666664	7.371114795831994	1.5524475524475525	3.5725034900044634	0.00035358476940570597
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|5	50	3	46.333333333333336	6.027713773341708	1.079136690647482	0.6083013899702637	0.542987599325355
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|4	50	3	44.666666666666664	1.5275252316519465	1.119402985074627	3.49148624377588	0.00048034119998186734
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|7	54	3	42.0	1.0	1.2857142857142858	12.0	3.552964224155306e-33
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|6	52	3	46.333333333333336	5.686240703077327	1.1223021582733812	0.9965576489929332	0.31897927149166794
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|1	36	3	38.666666666666664	4.509249752822894	0.9310344827586208	-0.5913770167636577	0.5542678363243185
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|0	45	3	43.333333333333336	6.506407098647712	1.0384615384615383	0.2561577597892796	0.7978290234715242
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|3	50	3	41.333333333333336	11.239810200058244	1.2096774193548387	0.7710687736187711	0.4406661683060725
